2026-04-08 21:15:04.917 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:15:05.919 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:05.919 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:15:05.967 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0001(0x)
2026-04-08 21:15:06.027 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:15:06.027 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:06.028 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:15:07.029 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:07.029 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:15:07.077 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0001(0x)
2026-04-08 21:15:07.137 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:15:07.137 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:07.137 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:15:08.138 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:08.138 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:15:08.187 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0001(0x)
2026-04-08 21:15:08.247 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:15:08.247 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:08.248 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:15:09.249 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:09.249 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:15:09.297 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0001(0x)
